time,left_force_x,left_force_y,left_force_z,left_torque_x,left_torque_y,left_torque_z,right_force_x,right_force_y,right_force_z,right_torque_x,right_torque_y,right_torque_z
13.86999989,-34.52919769,9.7084465,304.08670044,-29.11157608,-4.76365662,-1.72555423,32.09779358,-12.48671055,455.72576904,-35.5892868,58.43927765,7.63097858
13.88000011,-33.88568115,9.4255228,301.92611694,-29.11353302,-4.76438713,-1.62603617,31.22066116,-12.39389133,454.13778687,-35.49594116,58.34262085,7.49070024
13.88999939,-33.7599144,10.77485561,302.38208008,-29.01719284,-4.66511917,-1.6837821,31.82936478,-12.99244213,454.71621704,-35.59144974,58.24256134,7.29394484
13.89999962,-33.9236908,9.13660049,302.09967041,-29.11353302,-4.76438713,-2.09753442,31.12341309,-12.34523106,455.10357666,-35.68537521,58.34014893,7.65225983
13.90999985,-34.01393509,10.29023647,301.93450928,-29.11353302,-4.76438713,-1.62120843,30.36321068,-12.19581699,455.17086792,-35.68537521,58.34014893,7.6173048
13.92000008,-33.02614594,9.22485924,301.52319336,-29.01860237,-4.86294365,-2.1562469,31.11894417,-12.22070026,455.17294312,-35.87311935,58.53726196,7.6253314
13.92999935,-34.27375031,9.65595722,300.89578247,-29.11408234,-4.56729317,-1.92916965,31.29714966,-12.26232052,455.06982422,-35.87311935,58.53726196,7.68026018
13.93999958,-34.40378952,9.02997112,300.78717041,-29.11494446,-4.9622097,-1.99249971,31.75973892,-12.67926502,455.75582886,-35.96704483,58.63484955,7.46025133
13.94999981,-33.39749527,10.12101746,300.99835205,-29.11239433,-4.76404381,-2.0214119,31.50369453,-13.3842268,455.63916016,-35.96704483,58.63484955,7.65443516
13.96000004,-33.12496567,10.84928703,300.9319458,-28.92535973,-4.76474953,-1.61506128,30.44930267,-13.39685154,456.15164185,-36.06255722,58.53479004,7.78435326
13.96999931,-33.92371368,9.25019646,301.48928833,-29.01860237,-4.86294365,-2.06167912,30.51202011,-13.02398777,455.66973877,-35.96931839,58.436203,7.76089621
13.97999954,-32.38713455,9.70959473,300.8706665,-29.11494446,-4.9622097,-1.85444784,30.84046364,-13.06188679,456.19833374,-35.87322617,58.53532791,7.73463535
13.98999977,-32.90307617,9.72676659,301.54388428,-29.01860237,-4.86294365,-1.99014246,29.84246445,-12.7815733,455.78012085,-36.15706253,58.63331604,7.92312145
14,-32.76165771,10.80993271,301.46447754,-29.01860237,-4.86294365,-1.97755694,31.39582443,-12.05614758,456.20855713,-36.25099182,58.73090363,7.85243893
14.00999928,-33.26279068,10.85701561,300.55285645,-29.02170181,-4.86401558,-1.78575575,30.88545227,-12.60457134,457.25292969,-36.25041199,58.72996521,8.15806961
14.0199995,-33.52335358,10.08991051,300.98400879,-28.92535973,-4.76474953,-1.98703277,30.91455841,-12.87234974,458.22143555,-36.24824524,58.92668915,7.89001083
14.02999973,-33.75438309,10.2287674,299.90261841,-29.11549377,-4.76511574,-2.01656055,30.79307556,-11.82062626,458.73535156,-36.15442657,58.8271637,7.62102747
14.03999996,-34.9111557,10.49519539,299.75769043,-28.92421913,-4.7644062,-2.05227184,29.94901466,-11.50210381,458.65231323,-36.34444427,58.82562256,7.58478022
14.04999924,-32.87181091,10.19153118,299.29803467,-29.02056122,-4.86367226,-1.98141468,30.83162689,-12.23239326,458.76437378,-36.34217072,59.02427673,7.69091654
14.05999947,-33.79180908,9.83848667,299.48583984,-29.02056122,-4.86367226,-2.19100952,30.93142128,-13.21973991,458.25802612,-36.43826294,58.92514801,7.74026346
14.06999969,-32.89823914,9.35909271,299.52410889,-29.02056122,-4.86367226,-1.82837558,30.7989006,-12.13701916,457.70410156,-36.34433746,58.82756042,8.11634636
14.07999992,-33.3931427,10.43697357,299.43334961,-29.02056122,-4.86367226,-2.11506867,30.00254822,-12.26333427,458.28338623,-36.43826294,58.92514801,7.88910818
14.09000015,-33.88193893,10.47335529,298.81814575,-29.11435318,-4.76477242,-2.04789639,31.46478081,-12.63404655,458.84063721,-36.53218842,59.0227356,7.63470697
14.09999943,-33.64551926,10.36759949,299.34417725,-29.21014404,-5.06113434,-1.95249641,30.10771561,-12.68332863,459.19512939,-36.43609619,59.12186432,7.55670977
